Entry	Mass	Gene names  (ordered locus )	Subunit structure [CC]
P69908	52,685	b3517 JW3485	SUBUNIT: Homohexamer.
P52101	53,330	b2556 JW5407	
P0A9C0	58,958	b2241 JW2235	SUBUNIT: Composed of a catalytic GlpA/B dimer and of membrane bound GlpC.
P0AEQ6	24,364	b0810 JW0795	
P0AET8	26,779	b1619 JW1611	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:2007545, ECO:0000269|PubMed:8672472}.
P06983	33,852	b3805 JW5932	SUBUNIT: Monomer. {ECO:0000269|PubMed:3529035}.
P30178	38,897	b0801 JW0786	
P67910	34,893	b3619 JW3594	SUBUNIT: Homopentamer. {ECO:0000269|PubMed:10896473, ECO:0000269|PubMed:7929099}.
P64634	20,796	b3394 JW3357	
P00935	41,550	b3939 JW3910	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:2405903, ECO:0000269|PubMed:9843488}.
P06721	43,212	b3008 JW2975	SUBUNIT: Homotetramer; dimer of dimers. {ECO:0000269|PubMed:8831789}.
P23200	35,550	b2148 JW2135	
P0AEZ9	18,665	b0782 JW0765	SUBUNIT: Homohexamer. Dimer of trimers. {ECO:0000269|PubMed:15269205}.
Q46865	11,232	b3022 JW2990	SUBUNIT: Might be a dimer (PubMed:19690171). Also reported to be a monomer (PubMed:23172222). Crystallizes as a heterotetramer with MqsA, MqsR-MqsA(2)-MqsR (PubMed:20041169). Purifies as a possible heterohexamer of 2 MqsR dimers and 1 MqsA dimer (PubMed:19690171). When the 2 dissociate the MsqR mRNA interferase becomes active. {ECO:0000269|PubMed:19690171, ECO:0000269|PubMed:20041169, ECO:0000269|PubMed:23172222}.
P31678	29,175	b1897 JW1886	
P22188	53,344	b0085 JW0083	
P0ABH4	18,788	b3249 JW3218	
P75949	37,595	b1107 JW1093	SUBUNIT: Monomer. {ECO:0000305}.
P0A9L8	28,145	b0386 JW0377	
P26647	27,453	b3018 JW2986	
P23837	55,300	b1129 JW1115	SUBUNIT: Homodimer; probably dimerizes via the cytoplasmic domain (Probable). Probably interacts with MgrB in the periplasm, altering its activity and that of downstream effector PhoP. {ECO:0000269|PubMed:11493605, ECO:0000269|PubMed:15126461, ECO:0000269|PubMed:18348979, ECO:0000305}.
P0ADI0	21,908	b1374 JW1368	
P37794	27,774	b1733 JW1722	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01246}.
P0ABE9	23,764	b0339 JW0330	SUBUNIT: Oligomer. {ECO:0000269|PubMed:1740425}.
P37349	51,449	b1198 JW5185	SUBUNIT: Homodimer (PubMed:11350937). The dihydroxyacetone kinase complex is composed of a homodimer of DhaM, a homodimer of DhaK and the subunit DhaL. {ECO:0000269|PubMed:11350937}.
P04995	54,501	b2011 JW1993	SUBUNIT: Monomer (PubMed:23609540). Interacts with ssb (via C-terminus); this interaction stimulates the exonuclease activity by recruiting the enzyme to its substrate (PubMed:18591666, PubMed:20018747). {ECO:0000269|PubMed:18591666, ECO:0000269|PubMed:20018747, ECO:0000269|PubMed:23609540}.
P0ABU7	26,287	b3006 JW2974	SUBUNIT: The accessory proteins ExbB and ExbD seem to form a complex with TonB.
P0A9R2	7,778	b0554 JW0543	
P69380	32,927	b3915 JW3886	SUBUNIT: Homodimer. {ECO:0000269|PubMed:15258151}.
P33135	28,543	b1950 JW1934	
P22586	12,670	b1947 JW5316	
P0AA80	49,009	b3127 JW3096	
P0AEU0	28,483	b2309 JW2306	SUBUNIT: The complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (HisJ). {ECO:0000250}.
P0ACG6	5,737	b1562 JW1554	
P77091	5,564	b4415 JW5084	
P0ACE7	13,241	b1103 JW1089	SUBUNIT: Homodimer. {ECO:0000269|PubMed:15703176, ECO:0000269|PubMed:20934431}.
P0ABC7	45,545	b4174 JW4132	SUBUNIT: HflC and HflK interact to form a complex, originally called HflA, now called HflKC. HflKC interacts with FtsH; complex formation is stimulated by ATP, and with YccA. {ECO:0000269|PubMed:2973057, ECO:0000269|PubMed:8947034, ECO:0000269|PubMed:9636708}.
P25519	48,327	b4173 JW4131	SUBUNIT: Monomer. Associates with the 50S ribosomal subunit. This interaction occurs in the presence of GTP, GDP, ATP or ADP, but not in their absence. {ECO:0000255|HAMAP-Rule:MF_00900, ECO:0000269|PubMed:19109926, ECO:0000269|PubMed:19181811}.
P76339	50,850	b1968 JW1951	
P36646	44,450	b0106 JW0102	
P30131	82,066	b2712 JW5433	SUBUNIT: Monomer (PubMed:12377778). Forms a complex with HypE (PubMed:15291820, PubMed:18065529). {ECO:0000269|PubMed:12377778, ECO:0000269|PubMed:15291820, ECO:0000269|PubMed:18065529}.
P0A9F9	35,629	b3828 JW3804	
P50456	44,316	b1594 JW1586	SUBUNIT: Homodimer. {ECO:0000269|PubMed:15929984}.
P76329	30,439	b1955 JW1938	
P03817	15,808	b3742 JW3720	SUBUNIT: Homodimer. {ECO:0000305}.
P39285	123,968	b4159 JW4120	SUBUNIT: Homoheptamer. {ECO:0000269|PubMed:22874652}.
P0A9X4	36,952	b3251 JW3220	SUBUNIT: Forms polymers in the presence of ATP or GTP (PubMed:23235161). Forms an essential membrane-bound complex with MreC and MreD. Interacts directly with MreC but not with MreD (PubMed:15612918). Interacts with FtsZ, toxins CbtA and CptA, and cytoskeleton bundling-enhancing protein CbeA (PubMed:21166897, PubMed:22239607, PubMed:22515815). {ECO:0000269|PubMed:15612918, ECO:0000269|PubMed:21166897, ECO:0000269|PubMed:22239607, ECO:0000269|PubMed:22515815, ECO:0000269|PubMed:23235161}.
P0AFH0	19,179	b1335 JW1329	
P00894	17,977	b0078 JW0077	SUBUNIT: Dimer of large and small chains.
P0CF44	13,452	b3044 JW3012	
A0A385XJL4	19,565	b4710	
P76071	37,777	b1370 JW1363	
P0CE53	37,823	b1994 JW1972	
P45395	35,196	b3197 JW3164	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:12805358, ECO:0000269|PubMed:20954237}.
P03819	67,796	b0047 JW0046	SUBUNIT: Homodimer. Interacts with the regulatory subunit KefF, forming a heterotetramer with 2:2 stoichiometry. Interaction with KefF is required for optimal activity. The active antiporter may be formed by the heterotetramer, or by an octamer. {ECO:0000255|HAMAP-Rule:MF_01413, ECO:0000269|PubMed:17679694, ECO:0000269|PubMed:19523906, ECO:0000269|PubMed:21041667}.
P37329	27,364	b0763 JW0746	SUBUNIT: The complex is composed of two ATP-binding proteins (ModC), two transmembrane proteins (ModB) and a solute-binding protein (ModA). {ECO:0000305}.
P12281	44,067	b0827 JW0811	SUBUNIT: Homodimer. Interacts with MobA, MogA and MobB in vivo. {ECO:0000269|PubMed:11428898, ECO:0000269|PubMed:11525167, ECO:0000269|PubMed:12372836}.
P77791	20,096	b0459 JW0448	SUBUNIT: Homodimer. {ECO:0000269|PubMed:1856235}.
P17802	39,149	b2961 JW2928	SUBUNIT: Monomer. {ECO:0000269|PubMed:2682664}.
P06722	25,527	b2831 JW2799	
P0AFK6	29,111	b1124 JW1110	
P15373	12,359	b3129 JW3098	SUBUNIT: Homodimer; forms a complex with YhaV with stoichiometry PrlF(2)-YhaV(4), possibly as a YhaV(2)-PrlF(2)-YhaV(2) complex like the MazFE complex. This complex is seen to dimerize in solution. {ECO:0000269|PubMed:17706670}.
P0A8A4	31,211	b1703 JW1693	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:20044937}.
P0AB80	34,094	b3770 JW5606	SUBUNIT: Homohexamer.
P0CF79	33,540	b0299 JW0293	
P0CE50	37,851	b0552 JW0540	
P0CF81	33,540	b0541 JW0529	
P77154	84,867	b1316 JW1309	
P02920	46,503	b0343 JW0334	SUBUNIT: Monomer.
P69776	8,323	b1677 JW1667	SUBUNIT: Homotrimer (PubMed:3013869, PubMed:10843861). Interacts with OmpA (PubMed:3013869). Has been isolated from outer membrane preparations as an approximately 87 kDa complex, suggesting it also forms larger complexes (PubMed:16079137). Seems to interact with TolB, Pal and TonB (PubMed:9701827). {ECO:0000269|PubMed:10843861, ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:3013869, ECO:0000269|PubMed:9701827}.
P25737	53,576	b2156 JW2143	
P75831	70,702	b0879 JW0863	SUBUNIT: Homodimer. Part of the tripartite efflux system MacAB-TolC, which is composed of an inner membrane transporter, MacB, a periplasmic membrane fusion protein, MacA, and an outer membrane component, TolC. The complex forms a large protein conduit and can translocate molecules across both the inner and outer membranes. Interacts with MacA. {ECO:0000255|HAMAP-Rule:MF_01720, ECO:0000269|PubMed:17214741, ECO:0000269|PubMed:18955484, ECO:0000269|PubMed:21696464}.
P76398	112,078	b2075 JW2060	SUBUNIT: Part of a tripartite efflux system composed of MdtA, MdtB and MdtC. MdtB forms a heteromultimer with MdtC.
P25536	21,515	b3248 JW3217	SUBUNIT: Homodimer (PubMed:24210219, PubMed:25658941, PubMed:26252214). Can also form homotetramers (PubMed:24210219). {ECO:0000269|PubMed:24210219, ECO:0000269|PubMed:25658941, ECO:0000269|PubMed:26252214}.
P31133	40,840	b0854 JW0838	SUBUNIT: The complex is composed of two ATP-binding proteins (PotG), two transmembrane proteins (PotH and PotI) and a solute-binding protein (PotF). {ECO:0000269|PubMed:23719730, ECO:0000269|PubMed:8416922}.
P31135	35,490	b0856 JW0840	SUBUNIT: The complex is composed of two ATP-binding proteins (PotG), two transmembrane proteins (PotH and PotI) and a solute-binding protein (PotF). {ECO:0000269|PubMed:23719730, ECO:0000269|PubMed:8416922}.
Q46889	41,339	b2737 JW2707	
P0AFI9	39,194	b2493 JW2478	
P77150	31,322	b1636 JW1628	SUBUNIT: Homodimer. {ECO:0000269|PubMed:15547280}.
P0AFJ5	26,433	b0399 JW0389	
P45548	32,915	b3379 JW3342	SUBUNIT: Monomer. {ECO:0000269|PubMed:9548740}.
P37028	29,367	b0158 JW0154	SUBUNIT: The complex is composed of two ATP-binding proteins (BtuD), two transmembrane proteins (BtuC) and a solute-binding protein (BtuF). {ECO:0000255|HAMAP-Rule:MF_01000, ECO:0000269|PubMed:12468528, ECO:0000269|PubMed:12475936}.
P76632	18,702	b2759 JW2729	SUBUNIT: Homodimer. Part of the Cascade ribonucleoprotein complex, with stoichiometry CasA(1),CasB(2), CasC(6),CasD(1),CasE(1)-crRNA(1). The CasB homodimer forms a cleft that cradles the 3' end of the crRNA. Interacts directly with crRNA, CasA, CasC and CasE. Stable subcomplexes of CasBCDE-crRNA and CasCDE-crRNA also form, both of which are able to bind target dsDNA. Binding of target ssRNA or dsDNA causes a conformational change in the Cascade complex. {ECO:0000269|PubMed:18703739, ECO:0000269|PubMed:21255106, ECO:0000269|PubMed:21460843, ECO:0000269|PubMed:21938068, ECO:0000269|PubMed:22521689}.
P16700	37,615	b2425 JW2418	SUBUNIT: The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP). {ECO:0000305}.
P76016	70,562	b1201 JW5188	SUBUNIT: Homodimer. DhaR forms complexes with DhaK and DhaL-ADP. {ECO:0000269|PubMed:24440518}.
P0AEN8	15,473	b2804 JW2775	SUBUNIT: Homodecamer. {ECO:0000269|PubMed:12738765, ECO:0000269|PubMed:19524593}.
P0ABS5	65,565	b3066 JW3038	SUBUNIT: Monomer. Interacts with DnaB. The primase-helicase complex is composed of up to three DnaG bound to one DnaB hexamer. {ECO:0000255|HAMAP-Rule:MF_00974, ECO:0000269|PubMed:14557266, ECO:0000269|PubMed:1511009, ECO:0000269|PubMed:15649896, ECO:0000269|PubMed:17010164, ECO:0000269|PubMed:340457, ECO:0000269|PubMed:8917517}.
P0ACK5	28,548	b0840 JW0824	SUBUNIT: Homooctamer. {ECO:0000305|PubMed:2653814}.
P31129	33,863	b1535 JW1528	SUBUNIT: Homodimer. {ECO:0000269|PubMed:19460094, ECO:0000269|PubMed:23769666}.
P46068	35,332	b2364 JW2361	
P0A988	40,587	b3701 JW3678	SUBUNIT: Forms a ring-shaped head-to-tail homodimer (PubMed:2040637, PubMed:9927437, PubMed:1349852, PubMed:12832762, PubMed:14592985, PubMed:14729336, PubMed:18191219, PubMed:18678908) around DNA (PubMed:18191219), which can be opened by the delta subunit (PubMed:9927437, PubMed:11525728). Binds interacting factors in a hydrophobic surface cleft between domains 2 and 3, each monomer is able to bind different proteins simultaneously (PubMed:16168375, PubMed:11525728, PubMed:14592985, PubMed:14729336, PubMed:26499492). The beta* isoform probably forms homotrimers which probably load onto DNA (PubMed:8576212). The DNA polymerase III holoenzyme complex contains at least 10 different subunits organized into 3 functionally essential subassemblies: the Pol III core, the beta sliding clamp processivity factor and the clamp-loading complex. The Pol III core (subunits alpha, epsilon and theta) contains the polymerase and the 3'-5' exonuclease proofreading activities. The polymerase is tethered to the template via the dimeric beta sliding clamp processivity factor (this entry) (PubMed:15466025). The clamp loader (also called gamma complex) assembles the beta sliding clamp onto the primed template and plays a central role in the organization and communication at the replication fork. The clamp loader contains delta, delta', psi and chi, and 3 copies of either or both of two different DnaX proteins, gamma and tau. The DNA replisome complex has a single clamp loader (3 tau and 1 each of delta, delta', psi and chi subunits) which binds 3 Pol III cores (1 core on the leading strand and 2 on the lagging strand) each with a beta sliding clamp dimer. Additional proteins in the replisome are other copies of gamma, psi and chi, Ssb, DNA helicase and RNA primase (PubMed:20413500, PubMed:22157955, PubMed:26499492). The beta sliding clamp can also be part of the RIDA complex (regulatory inactivation of DnaA), consisting of ATP-DnaA, ADP-Hda and DNA-loaded beta clamp (PubMed:15150238, PubMed:18977760, PubMed:22716942). Also interacts with a number of other DNA machines such as DNA polymerases I (PubMed:11459978), II (PubMed:1999435, PubMed:1534562), IV (PubMed:14729336) and V, DNA mismatch repair enzyme MutS (PubMed:11459978, PubMed:11573000) and DNA ligase (PubMed:11459978). Binds to CrfC homooligomers at the midcell position during DNA replication (PubMed:23994470). Many proteins that bind the beta sliding clamp have the consensus sequence Gln-Leu[Ser/Asp]Leu-Phe (PubMed:15134440). {ECO:0000269|PubMed:11459978, ECO:0000269|PubMed:11525728, ECO:0000269|PubMed:11573000, ECO:0000269|PubMed:12832762, ECO:0000269|PubMed:1349852, ECO:0000269|PubMed:14592985, ECO:0000269|PubMed:14729336, ECO:0000269|PubMed:15134440, ECO:0000269|PubMed:15150238, ECO:0000269|PubMed:1534562, ECO:0000269|PubMed:15466025, ECO:0000269|PubMed:16168375, ECO:0000269|PubMed:18191219, ECO:0000269|PubMed:18678908, ECO:0000269|PubMed:18977760, ECO:0000269|PubMed:1999435, ECO:0000269|PubMed:2040637, ECO:0000269|PubMed:20413500, ECO:0000269|PubMed:22157955, ECO:0000269|PubMed:22716942, ECO:0000269|PubMed:23994470, ECO:0000269|PubMed:26499492, ECO:0000269|PubMed:8576212, ECO:0000269|PubMed:9927437}.
P03007	27,099	b0215 JW0205	SUBUNIT: In a ternary complex this subunit contacts both the beta sliding clamp (dnaN) and the polymerase subunit (dnaE) (PubMed:26499492). The DNA polymerase III holoenzyme complex contains at least 10 different subunits organized into 3 functionally essential subassemblies: the Pol III core, the beta sliding clamp processivity factor and the clamp-loading complex. The Pol III core (subunits alpha, epsilon and theta) contains the polymerase and the 3'-5' exonuclease proofreading activities (PubMed:6340117). The polymerase is tethered to the template via the dimeric beta sliding clamp processivity factor. The clamp loader (also called gamma complex) assembles the beta sliding clamp onto the primed template and plays a central role in the organization and communication at the replication fork. The clamp-loading complex contains delta, delta', psi and chi, and 3 copies of either or both of two different DnaX proteins, gamma and tau. The DNA replisome complex has a single clamp loader (3 tau and 1 each of delta, delta', psi and chi subunits) which binds 3 Pol III cores (1 core on the leading strand and 2 on the lagging strand) each with a beta sliding clamp dimer. Additional proteins in the replisome are other copies of gamma, psi and chi, Ssb, DNA helicase and RNA primase (PubMed:20413500, PubMed:22157955). {ECO:0000269|PubMed:11937058, ECO:0000269|PubMed:20413500, ECO:0000269|PubMed:22157955, ECO:0000269|PubMed:26499492, ECO:0000269|PubMed:6340117}.
P0A6M8	77,581	b3340 JW3302	
P0A6W0	33,516	b1524 JW1517	SUBUNIT: Homotetramer. {ECO:0000255|HAMAP-Rule:MF_00313, ECO:0000269|PubMed:18459799}.
P0A6Z3	71,423	b0473 JW0462	SUBUNIT: Homodimer. Oligomerizes at 65 degrees Celsius. {ECO:0000269|PubMed:15837196, ECO:0000269|PubMed:17055434, ECO:0000269|PubMed:2647735}.
P15005	53,157	b4346 JW5871	
P31462	41,490	b3710 JW3688	
P76399	111,010	b2076 JW2061	SUBUNIT: Part of a tripartite efflux system composed of MdtA, MdtB and MdtC. MdtC forms a heteromultimer with MdtB.
P22186	17,386	b0081 JW0079	SUBUNIT: Dodecamer. {ECO:0000269|PubMed:16511046}.
P10902	60,337	b2574 JW2558	SUBUNIT: Monomer (PubMed:2187483, PubMed:8706749). Homodimer (PubMed:10425677). Both the monomeric and dimeric forms of the enzyme are catalytically active (PubMed:10425677). {ECO:0000269|PubMed:10425677, ECO:0000269|PubMed:2187483, ECO:0000269|PubMed:8706749}.
P0A7A5	23,258	b2743 JW2713	SUBUNIT: Monomer.
P31660	43,102	b0333 JW0324	SUBUNIT: Homodimer. {ECO:0000269|PubMed:9579066}.
P0AFM2	36,023	b2679 JW2654	SUBUNIT: The complex is composed of two ATP-binding proteins (ProV), two transmembrane proteins (ProW) and a solute-binding protein (ProX). {ECO:0000269|PubMed:23249124}.
P0A978	7,781	b0990 JW0974	
P38038	66,270	b2764 JW2734	SUBUNIT: Alpha(8)-beta(8). The alpha component is a flavoprotein, the beta component is a hemoprotein. {ECO:0000255|HAMAP-Rule:MF_01541, ECO:0000269|PubMed:10984484, ECO:0000269|PubMed:15966732}.
P0AB83	23,562	b1633 JW1625	SUBUNIT: Monomer. {ECO:0000269|PubMed:6371006}.
P37690	46,595	b3613 JW5646	
P0A6Q6	17,033	b0180 JW0175	SUBUNIT: Oligomer.
P45761	22,231	b3331 JW3293	SUBUNIT: Type II secretion is composed of four main components: the outer membrane complex, the inner membrane complex, the cytoplasmic secretion ATPase and the periplasm-spanning pseudopilus. Interacts with core component GspG. {ECO:0000250|UniProtKB:Q00517}.
P77682	13,226	b2350 JW2346	
P77293	34,635	b2351 JW2347	
P0A8Y8	14,970	b0597 JW0589	SUBUNIT: Homotetramer. Dimer of dimers. Interacts specifically with the aryl carrier protein (ArCP) domain of EntB. {ECO:0000255|HAMAP-Rule:MF_00907, ECO:0000269|PubMed:17675380, ECO:0000269|PubMed:19193103, ECO:0000269|PubMed:25010423}.
P76297	14,059	b1878 JW1867	
P42593	72,678	b3081 JW3052	SUBUNIT: Monomer. {ECO:0000269|PubMed:6363415}.
P0AAN1	17,964	b2992 JW2960	
P0A6F3	56,231	b3926 JW3897	SUBUNIT: Homotetramer and homodimer (in equilibrium). Heterodimer with EIIA-Glc (crr). Binds 1 zinc ion per glycerol kinase EIIA-Glc dimer. The zinc ion is important for dimerization. {ECO:0000255|HAMAP-Rule:MF_00186, ECO:0000269|PubMed:10090737, ECO:0000269|PubMed:17441732, ECO:0000269|PubMed:215194, ECO:0000269|PubMed:215195, ECO:0000269|PubMed:4934840, ECO:0000269|PubMed:8170944, ECO:0000269|PubMed:8430315, ECO:0000269|PubMed:9817843, ECO:0000269|PubMed:9843423}.
P62707	28,556	b0755 JW0738	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01039, ECO:0000269|PubMed:10437801, ECO:0000269|PubMed:11038361, ECO:0000269|PubMed:11884145}.
P23524	39,104	b3124 JW3093	
P76323	10,732	b1936	
P0C8K0	47,192	b3132 JW3101	SUBUNIT: Forms a complex with KbaY.
P0ADE6	16,063	b2665 JW2640	
P0DPD0	4,014	b4419 JW5957	
P10441	42,382	b0182 JW0177	
Q46888	30,751	b2736 JW2706	
P0AFS1	34,456	b1515 JW1508	SUBUNIT: The complex is composed of two ATP-binding proteins (LsrA), two transmembrane proteins (LsrC and LsrD) and a solute-binding protein (LsrB). {ECO:0000305}.
P0AB67	48,723	b1602 JW1594	SUBUNIT: Heterodimer of an alpha and a beta chain.
P17846	63,998	b2763 JW2733	SUBUNIT: Alpha(8)-beta(8). The alpha component is a flavoprotein, the beta component is a hemoprotein. {ECO:0000255|HAMAP-Rule:MF_01540}.
P0AEA8	49,951	b3368 JW3331	SUBUNIT: Monomer. {ECO:0000269|PubMed:2407234}.
P09549	22,938	b2314 JW5378	
P00861	46,177	b2838 JW2806	
P22707	21,222		
P0A6K1	30,209	b3809 JW5592	SUBUNIT: Homodimer. {ECO:0000269|PubMed:23426375, ECO:0000269|PubMed:6378903}.
P77308	37,345	b1486 JW1481	SUBUNIT: The complex is composed of two ATP-binding proteins (DdpD and DdpF), two transmembrane proteins (DdpB and DdpC) and a solute-binding protein (DdpA). {ECO:0000305}.
P52614	39,312	b1943 JW1927	
P21693	49,188	b1343 JW1337	SUBUNIT: Monomer. {ECO:0000269|PubMed:16325852}.
P0CE48	43,314	b3980 JW3943	SUBUNIT: Monomer. Heterotetramer composed of two EF-Ts.EF-Tu dimer complexes (PubMed:8596629). {ECO:0000255|HAMAP-Rule:MF_00118, ECO:0000269|PubMed:8596629, ECO:0000269|PubMed:8939740}.; SUBUNIT: (Microbial infection) Upon infection by bacteriophage Qbeta, part of the viral RNA-dependent RNA polymerase complex, the other subunits are the viral replicase catalytic subunit (AC P14647), host ribosomal protein S1 and EF-Ts (PubMed:816798). {ECO:0000269|PubMed:20534494, ECO:0000269|PubMed:20798060, ECO:0000269|PubMed:22245970, ECO:0000269|PubMed:22884418, ECO:0000269|PubMed:25122749, ECO:0000269|PubMed:816798}.
P0ACZ2	16,386	b0982 JW5132	
P33650	84,474	b3409 JW3372	SUBUNIT: The isolated N-terminal domain (residues 1-274) forms trimers (PubMed:19629046, Ref.10,PubMed:25374115). {ECO:0000269|PubMed:19629046, ECO:0000269|PubMed:25374115, ECO:0000269|Ref.10}.
P43533	15,867	b1070 JW1057	
P09127	42,963	b3803 JW3775	SUBUNIT: Homooligomer, possibly a homopentamer. {ECO:0000269|PubMed:16079137}.
